Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Hit2nd, Collide
E2,10,14,158.151,333979,2111.77,937417,76721,5487,13,1
E2,10,14,135.593,333979,2463.1,937417,76721,5487,13,1
E2,10,14,135.159,333979,2471.01,937417,76721,5487,13,1
E2,10,14,135.346,333979,2467.59,937417,76721,5487,13,1
G5,10,-15,272.248,693864,2548.65,1870558,152023,14178,57,12
G5,10,-15,271.818,693864,2552.68,1870558,152023,14178,57,12
G5,10,-15,270.978,693864,2560.59,1870558,152023,14178,57,12
G5,10,-15,272.53,693864,2546.01,1870558,152023,14178,57,12
D7,10,10,210.848,620072,2940.85,1338803,113530,7621,27,4
D7,10,10,215.472,620072,2877.74,1338803,113530,7621,27,4
D7,10,10,220.158,620072,2816.49,1338803,113530,7621,27,4
D7,10,10,211.065,620072,2937.82,1338803,113530,7621,27,4
A8,10,24,140.984,467001,3312.44,886803,81355,5550,13,2
A8,10,24,141.125,467001,3309.13,886803,81355,5550,13,2
A8,10,24,140.581,467001,3321.94,886803,81355,5550,13,2
A8,10,24,139.707,467001,3342.72,886803,81355,5550,13,2
F3,10,5,67.07,201759,3008.19,405870,35457,2551,1,0
F3,10,5,66.745,201759,3022.83,405870,35457,2551,1,0
F3,10,5,66.619,201759,3028.55,405870,35457,2551,1,0
F3,10,5,66.373,201759,3039.78,405870,35457,2551,1,0
F1,10,10,161.664,298416,1845.9,1269785,90423,15332,26,1
F1,10,10,161.412,298416,1848.78,1269785,90423,15332,26,1
F1,10,10,161.07,298416,1852.71,1269785,90423,15332,26,1
F1,10,10,160.459,298416,1859.76,1269785,90423,15332,26,1
F6,10,37,632.254,2002679,3167.52,3794628,328482,30059,258,63
F6,10,37,633.106,2002679,3163.26,3794628,328482,30059,258,63
F6,10,37,639.443,2002679,3131.91,3794628,328482,30059,258,63
F6,10,37,635.111,2002679,3153.27,3794628,328482,30059,258,63
E6,10,-6,100.194,227245,2268.05,719594,60204,6318,5,1
E6,10,-6,96.398,227245,2357.36,719594,60204,6318,5,1
E6,10,-6,96.465,227245,2355.72,719594,60204,6318,5,1
E6,10,-6,97.188,227245,2338.2,719594,60204,6318,5,1
C3,10,24,372.17,1062713,2855.45,2470719,189439,28750,132,19
C3,10,24,370.707,1062713,2866.72,2470719,189439,28750,132,19
C3,10,24,370.689,1062713,2866.86,2470719,189439,28750,132,19
C3,10,24,371.171,1062713,2863.14,2470719,189439,28750,132,19
A8,10,-12,609.495,1407609,2309.47,4372379,257349,46125,345,41
A8,10,-12,609.168,1407609,2310.71,4372379,257349,46125,345,41
A8,10,-12,608.889,1407609,2311.77,4372379,257349,46125,345,41
A8,10,-12,610.888,1407609,2304.2,4372379,257349,46125,345,41
E1,10,-6,285.815,699121,2446.06,2064656,156925,22002,61,5
E1,10,-6,279.686,699121,2499.66,2064656,156925,22002,61,5
E1,10,-6,279.752,699121,2499.07,2064656,156925,22002,61,5
E1,10,-6,279.745,699121,2499.14,2064656,156925,22002,61,5
C3,10,64,277.836,675793,2432.34,2012725,176950,24207,123,21
C3,10,64,277.8,675793,2432.66,2012725,176950,24207,123,21
C3,10,64,276.912,675793,2440.46,2012725,176950,24207,123,21
C3,10,64,275.441,675793,2453.49,2012725,176950,24207,123,21
C5,10,8,357.388,1100799,3080.12,2621625,164219,22690,97,14
C5,10,8,356.217,1100799,3090.25,2621625,164219,22690,97,14
C5,10,8,355.834,1100799,3093.57,2621625,164219,22690,97,14
C5,10,8,354.438,1100799,3105.76,2621625,164219,22690,97,14
F8,10,64,206.156,891172,4322.8,1051423,146380,11234,41,6
F8,10,64,205.77,891172,4330.91,1051423,146380,11234,41,6
F8,10,64,211.887,891172,4205.88,1051423,146380,11234,41,6
F8,10,64,207.735,891172,4289.95,1051423,146380,11234,41,6
F4,10,-16,341.23,962100,2819.51,2236071,179104,38744,173,10
F4,10,-16,346.497,962100,2776.65,2236071,179104,38744,173,10
F4,10,-16,341.424,962100,2817.9,2236071,179104,38744,173,10
F4,10,-16,341.314,962100,2818.81,2236071,179104,38744,173,10
F8,10,-39,23.728,79387,3345.71,173771,21486,2293,4,0
F8,10,-39,23.52,79387,3375.3,173771,21486,2293,4,0
F8,10,-39,23.331,79387,3402.64,173771,21486,2293,4,0
F8,10,-39,23.246,79387,3415.08,173771,21486,2293,4,0
C3,10,-60,84.76,259956,3066.97,591868,72961,18214,21,0
C3,10,-60,84.13,259956,3089.93,591868,72961,18214,21,0
C3,10,-60,83.596,259956,3109.67,591868,72961,18214,21,0
C3,10,-60,83.263,259956,3122.11,591868,72961,18214,21,0
H5,10,-44,67.522,278465,4124.06,405176,72875,8658,18,0
H5,10,-44,67.419,278465,4130.36,405176,72875,8658,18,0
H5,10,-44,66.318,278465,4198.94,405176,72875,8658,18,0
H5,10,-44,66.056,278465,4215.59,405176,72875,8658,18,0
C8,10,1,192.115,641967,3341.58,1279127,156248,42244,170,16
C8,10,1,191.872,641967,3345.81,1279127,156248,42244,170,16
C8,10,1,190.019,641967,3378.44,1279127,156248,42244,170,16
C8,10,1,189.47,641967,3388.23,1279127,156248,42244,170,16
C1,10,-64,145.989,435817,2985.27,1054792,112246,20579,64,4
C1,10,-64,145.888,435817,2987.34,1054792,112246,20579,64,4
C1,10,-64,145.195,435817,3001.6,1054792,112246,20579,64,4
C1,10,-64,145.643,435817,2992.36,1054792,112246,20579,64,4
G7,18,0,118.902,872611,7338.91,231856,483276,92540,1223,280
G7,18,0,94.115,872611,9271.75,231856,483276,92540,1223,280
G7,18,0,93.796,872611,9303.29,231856,483276,92540,1223,280
G7,18,0,90.373,872611,9655.66,231856,483276,92540,1223,280
D1,18,10,66.326,583534,8797.97,133663,339127,57009,511,76
D1,18,10,64.506,583534,9046.2,133663,339127,57009,511,76
D1,18,10,62.593,583534,9322.67,133663,339127,57009,511,76
D1,18,10,64.065,583534,9108.47,133663,339127,57009,511,76
A8,18,30,35.156,363512,10340,111270,203418,20612,113,16
A8,18,30,34.821,363512,10439.4,111270,203418,20612,113,16
A8,18,30,32.552,363512,11167.1,111270,203418,20612,113,16
A8,18,30,31.765,363512,11443.8,111270,203418,20612,113,16
A1,18,-8,15.384,140970,9163.42,41033,82545,9151,14,2
A1,18,-8,14.71,140970,9583.28,41033,82545,9151,14,2
A1,18,-8,14.21,140970,9920.48,41033,82545,9151,14,2
A1,18,-8,13.845,140970,10182,41033,82545,9151,14,2
C2,18,28,20.026,221504,11060.8,60725,113980,15479,45,2
C2,18,28,20.118,221504,11010.2,60725,113980,15479,45,2
C2,18,28,18.694,221504,11848.9,60725,113980,15479,45,2
C2,18,28,18.205,221504,12167.2,60725,113980,15479,45,2
