Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Rehash, Collide
C3,4,14,0.087,188,2160.92,587,0,0,0,0
C3,4,14,0.086,188,2186.05,587,0,0,0,0
C3,4,14,0.084,188,2238.1,587,0,0,0,0
F4,4,-9,0.114,245,2149.12,740,0,0,0,0
F4,4,-9,0.114,245,2149.12,740,0,0,0,0
F4,4,-9,0.113,245,2168.14,740,0,0,0,0

F3,4,-13,0.045,116,2577.78,289,0,0,0,0
F3,4,-13,0.052,116,2230.77,289,0,0,0,0
F3,4,-13,0.036,116,3222.22,289,0,0,0,0
C4,4,18,0.08,176,2200,526,0,0,0,0
C4,4,18,0.064,176,2750,526,0,0,0,0
C4,4,18,0.078,176,2256.41,526,0,0,0,0

G3,4,5,0.084,257,3059.52,675,0,0,0,0
G3,4,5,0.104,257,2471.15,675,0,0,0,0
G3,4,5,0.082,257,3134.15,675,0,0,0,0
F4,4,0,0.125,230,1840,851,0,0,0,0
F4,4,0,0.1,230,2300,851,0,0,0,0
F4,4,0,0.099,230,2323.23,851,0,0,0,0

F6,4,20,0.141,352,2496.45,903,0,0,0,0
F6,4,20,0.112,352,3142.86,903,0,0,0,0
F6,4,20,0.111,352,3171.17,903,0,0,0,0
C3,4,-17,0.11,199,1809.09,740,0,0,0,0
C3,4,-17,0.088,199,2261.36,740,0,0,0,0
C3,4,-17,0.111,199,1792.79,740,0,0,0,0

F3,4,3,0.103,316,3067.96,817,0,0,0,0
F3,4,3,0.101,316,3128.71,817,0,0,0,0
F3,4,3,0.1,316,3160,817,0,0,0,0
E3,4,0,0.056,106,1892.86,516,0,0,0,0
E3,4,0,0.071,106,1492.96,516,0,0,0,0
E3,4,0,0.07,106,1514.29,516,0,0,0,0

F1,4,9,0.032,63,1968.75,268,0,0,0,0
F1,4,9,0.037,63,1702.7,268,0,0,0,0
F1,4,9,0.031,63,2032.26,268,0,0,0,0
D6,4,-3,0.122,336,2754.1,748,0,0,0,0
D6,4,-3,0.1,336,3360,748,0,0,0,0
D6,4,-3,0.1,336,3360,748,0,0,0,0

F6,4,36,0.232,451,1943.97,1197,0,0,0,0
F6,4,36,0.162,451,2783.95,1197,0,0,0,0
F6,4,36,0.161,451,2801.24,1197,0,0,0,0
F4,4,-32,0.15,217,1446.67,810,0,0,0,0
F4,4,-32,0.104,217,2086.54,810,0,0,0,0
F4,4,-32,0.103,217,2106.8,810,0,0,0,0

E6,4,-2,0.15,306,2040,1077,0,0,0,0
E6,4,-2,0.125,306,2448,1077,0,0,0,0
E6,4,-2,0.125,306,2448,1077,0,0,0,0
C3,4,7,0.18,283,1572.22,1068,0,0,0,0
C3,4,7,0.128,283,2210.94,1068,0,0,0,0
C3,4,7,0.126,283,2246.03,1068,0,0,0,0

B3,4,20,0.144,319,2215.28,1009,0,0,0,0
B3,4,20,0.12,319,2658.33,1009,0,0,0,0
B3,4,20,0.12,319,2658.33,1009,0,0,0,0
F5,4,-18,0.293,444,1515.36,1915,0,0,0,0
F5,4,-18,0.225,444,1973.33,1915,0,0,0,0
F5,4,-18,0.224,444,1982.14,1915,0,0,0,0

A8,4,-14,0.166,368,2216.87,1245,0,0,0,0
A8,4,-14,0.153,368,2405.23,1245,0,0,0,0
A8,4,-14,0.153,368,2405.23,1245,0,0,0,0
F6,4,17,0.225,434,1928.89,1402,0,0,0,0
F6,4,17,0.228,434,1903.51,1402,0,0,0,0
F6,4,17,0.193,434,2248.7,1402,0,0,0,0

B4,4,2,0.227,340,1497.8,1269,0,0,0,0
B4,4,2,0.157,340,2165.61,1269,0,0,0,0
B4,4,2,0.162,340,2098.77,1269,0,0,0,0
E8,4,4,0.45,752,1671.11,2981,0,0,0,0
E8,4,4,0.363,752,2071.63,2981,0,0,0,0
E8,4,4,0.358,752,2100.56,2981,0,0,0,0

C3,4,68,0.206,345,1674.76,1757,0,0,0,0
C3,4,68,0.202,345,1707.92,1757,0,0,0,0
C3,4,68,0.221,345,1561.09,1757,0,0,0,0
C1,4,-63,0.272,605,2224.26,1902,0,0,0,0
C1,4,-63,0.267,605,2265.92,1902,0,0,0,0
C1,4,-63,0.25,605,2420,1902,0,0,0,0

C5,4,7,0.302,812,2688.74,2650,0,0,0,0
C5,4,7,0.301,812,2697.67,2650,0,0,0,0
C5,4,7,0.295,812,2752.54,2650,0,0,0,0
F6,4,-4,0.138,209,1514.49,1076,0,0,0,0
F6,4,-4,0.118,209,1771.19,1076,0,0,0,0
F6,4,-4,0.117,209,1786.32,1076,0,0,0,0

F8,4,53,0.124,508,4096.77,843,0,0,0,0
F8,4,53,0.122,508,4163.93,843,0,0,0,0
F8,4,53,0.119,508,4268.91,843,0,0,0,0
E2,4,-48,0.146,191,1308.22,1054,0,0,0,0
E2,4,-48,0.12,191,1591.67,1054,0,0,0,0
E2,4,-48,0.136,191,1404.41,1054,0,0,0,0

D1,4,-15,0.147,177,1204.08,632,0,0,0,0
D1,4,-15,0.078,177,2269.23,632,0,0,0,0
D1,4,-15,0.078,177,2269.23,632,0,0,0,0
A1,4,20,0.083,226,2722.89,647,0,0,0,0
A1,4,20,0.108,226,2092.59,647,0,0,0,0
A1,4,20,0.093,226,2430.11,647,0,0,0,0

F8,4,-38,0.109,196,1798.17,927,0,0,0,0
F8,4,-38,0.095,196,2063.16,927,0,0,0,0
