Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Hit2nd, Collide
E2,9,9,46.792,122663,2621.45,373010,0,0,0,0
E2,9,9,46.828,122663,2619.44,373010,0,0,0,0
E2,9,9,46.952,122663,2612.52,373010,0,0,0,0
B4,9,-14,77.253,180190,2332.47,594623,0,0,0,0
B4,9,-14,74.729,180190,2411.25,594623,0,0,0,0
B4,9,-14,74.647,180190,2413.89,594623,0,0,0,0

G5,9,-19,88.873,208155,2342.16,704728,0,0,0,0
G5,9,-19,88.052,208155,2364,704728,0,0,0,0
G5,9,-19,93.458,208155,2227.26,704728,0,0,0,0
C7,9,15,154.071,317843,2062.96,1273619,0,0,0,0
C7,9,15,154.427,317843,2058.21,1273619,0,0,0,0
C7,9,15,154.083,317843,2062.8,1273619,0,0,0,0

D7,9,5,282.963,552361,1952.06,2278750,0,0,0,0
D7,9,5,271.132,552361,2037.24,2278750,0,0,0,0
D7,9,5,272.083,552361,2030.12,2278750,0,0,0,0
C4,9,-10,285.087,783025,2746.62,2127275,0,0,0,0
C4,9,-10,285.136,783025,2746.15,2127275,0,0,0,0
C4,9,-10,284.978,783025,2747.67,2127275,0,0,0,0

B4,9,20,184.891,344994,1865.93,1632943,0,0,0,0
B4,9,20,184.705,344994,1867.81,1632943,0,0,0,0
B4,9,20,184.994,344994,1864.89,1632943,0,0,0,0
C7,9,-23,347.459,1044823,3007.04,2611460,0,0,0,0
C7,9,-23,350.888,1044823,2977.65,2611460,0,0,0,0
C7,9,-23,353.529,1044823,2955.41,2611460,0,0,0,0

E3,9,0,260.12,521542,2005.01,2164223,0,0,0,0
E3,9,0,258.815,521542,2015.12,2164223,0,0,0,0
E3,9,0,279.537,521542,1865.74,2164223,0,0,0,0
F3,9,-5,144.46,400448,2772.03,1104717,0,0,0,0
F3,9,-5,144.338,400448,2774.38,1104717,0,0,0,0
F3,9,-5,145.038,400448,2760.99,1104717,0,0,0,0

F1,9,5,72.372,231754,3202.26,508723,0,0,0,0
F1,9,5,72.414,231754,3200.4,508723,0,0,0,0
F1,9,5,72.31,231754,3205.01,508723,0,0,0,0
C1,9,-10,355.348,667823,1879.35,3066683,0,0,0,0
C1,9,-10,353.857,667823,1887.27,3066683,0,0,0,0
C1,9,-10,363.657,667823,1836.41,3066683,0,0,0,0

A5,9,32,349.527,667636,1910.11,2777823,0,0,0,0
A5,9,32,337.435,667636,1978.56,2777823,0,0,0,0
A5,9,32,336.609,667636,1983.42,2777823,0,0,0,0
F4,9,-37,393.617,1115195,2833.2,2837029,0,0,0,0
F4,9,-37,393.442,1115195,2834.46,2837029,0,0,0,0
F4,9,-37,393.828,1115195,2831.68,2837029,0,0,0,0

E6,9,-10,173.951,428637,2464.12,1399164,0,0,0,0
E6,9,-10,174.02,428637,2463.15,1399164,0,0,0,0
E6,9,-10,173.741,428637,2467.1,1399164,0,0,0,0
C3,9,6,323.781,751820,2322,2713022,0,0,0,0
C3,9,6,342.411,751820,2195.67,2713022,0,0,0,0
C3,9,6,340.599,751820,2207.35,2713022,0,0,0,0

C3,9,20,284.86,606387,2128.72,2347561,0,0,0,0
C3,9,20,284.802,606387,2129.15,2347561,0,0,0,0
C3,9,20,284.78,606387,2129.32,2347561,0,0,0,0
F1,9,-24,249.38,656479,2632.44,2029465,0,0,0,0
F1,9,-24,249.312,656479,2633.16,2029465,0,0,0,0
F1,9,-24,249.573,656479,2630.41,2029465,0,0,0,0

A8,9,-17,461.838,952296,2061.97,3820155,0,0,0,0
A8,9,-17,459.061,952296,2074.44,3820155,0,0,0,0
A8,9,-17,459.644,952296,2071.81,3820155,0,0,0,0
D6,9,12,478.527,1058035,2211.02,3820749,0,0,0,0
D6,9,12,476.887,1058035,2218.63,3820749,0,0,0,0
D6,9,12,476.281,1058035,2221.45,3820749,0,0,0,0

E1,9,-11,226.557,539915,2383.13,1837864,0,0,0,0
E1,9,-11,223.219,539915,2418.77,1837864,0,0,0,0
E1,9,-11,223.332,539915,2417.54,1837864,0,0,0,0
E7,9,6,754.335,1881226,2493.89,6511270,0,0,0,0
E7,9,6,755.052,1881226,2491.52,6511270,0,0,0,0
E7,9,6,754.984,1881226,2491.74,6511270,0,0,0,0

C3,9,62,259.935,805787,3099.96,1906335,0,0,0,0
