Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Hit2nd, Collide
E2,10,14,183.235,397154,2167.46,1196085,93279,9002,28,3
E2,10,14,161.714,397154,2455.9,1196085,93279,9002,28,3
E2,10,14,161.486,397154,2459.37,1196085,93279,9002,28,3
E2,10,14,161.688,397154,2456.3,1196085,93279,9002,28,3
G5,10,-15,274.782,624728,2273.54,2068680,129015,11321,34,10
G5,10,-15,274.372,624728,2276.94,2068680,129015,11321,34,10
G5,10,-15,274.647,624728,2274.66,2068680,129015,11321,34,10
G5,10,-15,277.228,624728,2253.48,2068680,129015,11321,34,10
D7,10,10,1059.82,2813718,2654.9,7335677,516598,56467,804,318
D7,10,10,1043.29,2813718,2696.97,7335677,516598,56467,804,318
D7,10,10,1064.41,2813718,2643.46,7335677,516598,56467,804,318
D7,10,10,1042.65,2813718,2698.63,7335677,516598,56467,804,318
F5,10,24,623.459,1856323,2977.46,4269575,317178,33735,234,74
F5,10,24,623.349,1856323,2977.98,4269575,317178,33735,234,74
F5,10,24,625.332,1856323,2968.54,4269575,317178,33735,234,74
F5,10,24,623.049,1856323,2979.42,4269575,317178,33735,234,74
E3,10,5,794.524,2046185,2575.36,5691041,372675,51972,443,122
E3,10,5,797.715,2046185,2565.06,5691041,372675,51972,443,122
E3,10,5,796.199,2046185,2569.94,5691041,372675,51972,443,122
E3,10,5,794.25,2046185,2576.25,5691041,372675,51972,443,122
F1,10,10,279.885,514160,1837.04,2147275,142126,30707,93,5
F1,10,10,267.953,514160,1918.84,2147275,142126,30707,93,5
F1,10,10,267.753,514160,1920.28,2147275,142126,30707,93,5
F1,10,10,272.656,514160,1885.75,2147275,142126,30707,93,5
A5,10,37,1095.91,3072121,2803.25,7035108,567718,76609,1033,409
A5,10,37,1094.38,3072121,2807.18,7035108,567718,76609,1033,409
A5,10,37,1094.28,3072121,2807.44,7035108,567718,76609,1033,409
A5,10,37,1093.95,3072121,2808.27,7035108,567718,76609,1033,409
E6,10,-6,549.56,1330788,2421.55,4107370,266673,49449,299,43
E6,10,-6,536.228,1330788,2481.76,4107370,266673,49449,299,43
E6,10,-6,535.365,1330788,2485.76,4107370,266673,49449,299,43
E6,10,-6,535.837,1330788,2483.57,4107370,266673,49449,299,43
C3,10,24,779.422,2280083,2925.35,5409120,408723,68097,703,140
C3,10,24,777.144,2280083,2933.93,5409120,408723,68097,703,140
C3,10,24,777.216,2280083,2933.65,5409120,408723,68097,703,140
C3,10,24,777.086,2280083,2934.14,5409120,408723,68097,703,140
