Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Rehash, Collide
C3,4,14,0.351,399,1136.75,2962,0,0,0,0
C3,4,14,0.353,399,1130.31,2962,0,0,0,0
C3,4,14,0.349,399,1143.27,2962,0,0,0,0
F4,4,-9,0.875,814,930.286,7213,0,0,0,0
F4,4,-9,0.683,814,1191.8,7213,0,0,0,0
F4,4,-9,0.676,814,1204.14,7213,0,0,0,0

F3,4,-13,0.551,497,901.996,3823,0,0,0,0
F3,4,-13,0.356,497,1396.07,3823,0,0,0,0
F3,4,-13,0.384,497,1294.27,3823,0,0,0,0
C4,4,18,0.664,524,789.157,4463,0,0,0,0
C4,4,18,0.54,524,970.37,4463,0,0,0,0
C4,4,18,0.425,524,1232.94,4463,0,0,0,0

G3,4,5,1.061,935,881.244,7496,0,0,0,0
G3,4,5,0.865,935,1080.92,7496,0,0,0,0
G3,4,5,0.899,935,1040.04,7496,0,0,0,0
F4,4,0,0.696,756,1086.21,6937,0,0,0,0
F4,4,0,0.772,756,979.275,6937,0,0,0,0
F4,4,0,0.657,756,1150.68,6937,0,0,0,0

F6,4,20,0.841,960,1141.5,7080,0,0,0,0
F6,4,20,0.767,960,1251.63,7080,0,0,0,0
F6,4,20,0.764,960,1256.54,7080,0,0,0,0
C3,4,-17,0.77,797,1035.06,7658,0,0,0,0
C3,4,-17,0.73,797,1091.78,7658,0,0,0,0
C3,4,-17,0.781,797,1020.49,7658,0,0,0,0

F3,4,3,0.52,696,1338.46,5053,0,0,0,0
F3,4,3,0.498,696,1397.59,5053,0,0,0,0
F3,4,3,0.475,696,1465.26,5053,0,0,0,0
E3,4,0,0.351,296,843.305,2929,0,0,0,0
E3,4,0,0.427,296,693.208,2929,0,0,0,0
E3,4,0,0.333,296,888.889,2929,0,0,0,0

F1,4,9,0.611,428,700.491,5056,0,0,0,0
F1,4,9,0.652,428,656.442,5056,0,0,0,0
F1,4,9,0.572,428,748.252,5056,0,0,0,0
D6,4,-3,1.61,1621,1006.83,13508,0,0,0,0
D6,4,-3,1.287,1621,1259.52,13508,0,0,0,0
D6,4,-3,1.345,1621,1205.2,13508,0,0,0,0

F6,4,36,1.695,1782,1051.33,17849,0,0,0,0
F6,4,36,1.766,1782,1009.06,17849,0,0,0,0
F6,4,36,1.706,1782,1044.55,17849,0,0,0,0
F4,4,-32,2.405,1794,745.946,24320,0,0,0,0
F4,4,-32,2.373,1794,756.005,24320,0,0,0,0
F4,4,-32,2.381,1794,753.465,24320,0,0,0,0

E6,4,-2,0.849,992,1168.43,8548,0,0,0,0
E6,4,-2,0.808,992,1227.72,8548,0,0,0,0
E6,4,-2,0.806,992,1230.77,8548,0,0,0,0
C3,4,7,1.036,1003,968.147,9789,0,0,0,0
C3,4,7,0.937,1003,1070.44,9789,0,0,0,0
C3,4,7,0.934,1003,1073.88,9789,0,0,0,0

B3,4,20,1.266,1322,1044.23,11825,0,0,0,0
B3,4,20,1.765,1322,749.008,11825,0,0,0,0
B3,4,20,1.409,1322,938.254,11825,0,0,0,0
F5,4,-18,1.148,1079,939.895,11136,0,0,0,0
F5,4,-18,1.063,1079,1015.05,11136,0,0,0,0
F5,4,-18,1.06,1079,1017.92,11136,0,0,0,0

A8,4,-14,1.33,1149,863.91,11144,0,0,0,0
A8,4,-14,1.327,1149,865.863,11144,0,0,0,0
A8,4,-14,1.061,1149,1082.94,11144,0,0,0,0
F6,4,17,1.271,1229,966.955,11349,0,0,0,0
F6,4,17,1.078,1229,1140.07,11349,0,0,0,0
F6,4,17,1.075,1229,1143.26,11349,0,0,0,0

B4,4,2,1.706,1487,871.63,16925,0,0,0,0
B4,4,2,1.94,1487,766.495,16925,0,0,0,0
B4,4,2,1.628,1487,913.391,16925,0,0,0,0
E8,4,4,2.498,2329,932.346,23752,0,0,0,0
E8,4,4,2.466,2329,944.444,23752,0,0,0,0
E8,4,4,2.245,2329,1037.42,23752,0,0,0,0

C3,4,68,2.259,1625,719.345,19706,0,0,0,0
C3,4,68,1.889,1625,860.244,19706,0,0,0,0
C3,4,68,2.208,1625,735.96,19706,0,0,0,0
C1,4,-63,2.317,2304,994.389,24087,0,0,0,0
C1,4,-63,3.186,2304,723.164,24087,0,0,0,0
C1,4,-63,3.425,2304,672.701,24087,0,0,0,0

C5,4,7,1.067,1477,1384.25,10025,0,0,0,0
C5,4,7,0.952,1477,1551.47,10025,0,0,0,0
C5,4,7,0.963,1477,1533.75,10025,0,0,0,0
F6,4,-4,0.575,529,920,5724,0,0,0,0
F6,4,-4,0.548,529,965.328,5724,0,0,0,0
